中環,#genre#
华丽翡翠台,https://cdn6.cc.cd/163189/hlfct
翡翠剧集台,https://cdn6.cc.cd/163189/tvbd
华丽翡翠台,https://cdn6.cc.cd/163189/jade
TVB亚洲武侠,https://cdn6.cc.cd/163189/yzwx
重温经典,https://cdn6.cc.cd/163189/cwjd
澳门莲花,https://cdn6.cc.cd/163189/amlh
Plus综合Pdtv,http://rihou.cc:555/tv/[Pd]Plus综合
有线综合tv,http://rihou.cc:555/tv/[Pd]有线综合
无线翡翠tv,http://rihou.cc:555/tv/[Pd]无线翡翠
无线翡翠4Ktv,http://rihou.cc:555/tv/[Pd]无线翡4K
无线华丽tv,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠tv,http://rihou.cc:555/tv/[Pd]无线明珠
无线翡剧tv,http://rihou.cc:555/tv/[Pd]无线翡剧
无线娱乐tv,http://rihou.cc:555/tv/[Pd]无线娱乐|
无线娱乐tv,http://rihou.cc:555/tv/[Pd]无线娱乐
无线星河tv,http://rihou.cc:555/tv/[Pd]无线星河
无线经典tv,http://rihou.cc:555/tv/[Pd]无线经典
无线功夫tv,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门tv,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星tv,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育tv,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺tv,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花tv,http://rihou.cc:555/tv/[Pd]澳门莲花
央视综合tv,http://rihou.cc:555/tv/[Pd]央视综合
重温经典tv,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影tv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典tv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像tv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩tv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧tv,http://rihou.cc:555/tv/[Pd]龙华戏剧
八度空间tv,http://rihou.cc:555/tv/[Pd]八度空间
CHU综合tv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合tv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合tv,http://rihou.cc:555/tv/[Pd]CH8综合
astroaodtv,http://rihou.cc:555/tv/[Pd]astroaod
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
嶺南戲曲[Lingnan Drama],http://38.75.136.137:98/gslb/dsdqpub/gdlnxq.m3u8?auth=testpub
岭南戏曲,http://38.75.136.137:98/gslb/dsdqpub/gdlnxq.m3u8?auth=testpub
岭南戏曲,http://192.151.150.154/live/gdlnxq.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
澳门资讯,https://live5.tdm.com.mo/ch5/info_ch5.live/chunklist_w929410396.m3u8
澳门卫视,https://live5.tdm.com.mo/ch1/ch1.live/chunklist_w27593303.m3u8
澳门MACAU,https://live5.tdm.com.mo/ch3/ch3.live/chunklist_w1839236055.m3u8
澳视澳门 ,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
广东体育1,http://198.204.228.26/live/gdty.m3u8
广东体育2,http://38.75.136.137:98/gslb/dsdqpub/gdty.m3u8?auth=testpub
大湾区卫视,http://222.128.55.152:9080/live/dwq.m3u8
大湾区卫视 2,http://www.maomizi.cn:9527/udp/239.77.0.215:5146
大湾区卫视 2,https://hc9lby9bzw8zcar.wcetv.com/hls/wcetv318.m3u8
大湾区卫视 3,http://plex.cyruslee.top:8888/udp/239.77.0.215:5146
广州新闻,https://tencentplaygsm.gztv.com/live/xinwen.m3u8
广州新闻,https://tencentplaygzrb01.gztv.com/live/xinwen.m3u8
广东珠江,http://rihou.cc:555/tv/[At|]广东珠江
广东珠江,http://rihou.cc:555/tv/[Cx]广东珠江
广东珠江,http://rihou.cc:555/tv/[AtI]广东珠江
民视频道,rtmp://f13h.mine.nu/sat/tv051
台视频道,rtmp://f13h.mine.nu/sat/tv071
中视频道,rtmp://f13h.mine.nu/sat/tv091
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
中天新聞,http://jnzq.ohoyee.com:9080/live/xingjiaoge-ztxw2.m3u8
中天新聞 h,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
TVBS新聞台,http://38.64.72.148/hls/modn/list/4027/playlist.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS H新聞台,https://tv.iill.top/4gtv/media-live073
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
中视新闻,http://220.135.64.124:5050/of-4gtv-4gtv074/index.m3u8?proxy=true
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
民视新闻台,http://74.91.26.218:82/live/ftvnews.m3u8
东森新闻,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741
亚洲新闻台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
东森新闻美洲台,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻台,http://tv.redrainl.site:9500/live.m3u8?c=01
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
好消息综合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
时尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
民视HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
AWE,https://awe-lg.amagi.tv/playlist.m3u8
AWE Encore,https://aweencore-tcl.amagi.tv/playlist.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/chunklist0.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/chunklist1.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148/hls/modn/list/4026/playlist.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/chunklist0.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/chunklist1.m3u8
KTSF26洛杉磯三藩市,http://38.64.72.148:80/hls/modn/list/4026/playlist.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/chunklist0.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/chunklist1.m3u8
中旺電視,http://38.64.72.148/hls/modn/list/4010/playlist.m3u8
中旺電視,http://38.64.72.148:80/hls/modn/list/4010/chunklist0.m3u8
中旺電視,http://38.64.72.148:80/hls/modn/list/4010/playlist.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/chunklist0.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/chunklist1.m3u8
美國城市衛視,http://38.64.72.148/hls/modn/list/4028/playlist.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/chunklist0.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/chunklist1.m3u8
美國城市衛視,http://38.64.72.148:80/hls/modn/list/4028/playlist.m3u8
SW-SPORT体育 ,#genre#
world fishing,https://d3b3ldcvgsu291.cloudfront.net/v1/master/9d062541f2ff39b5c0f48b743c6411d25f62fc25/DistroTV-MuxIP-WFN/477.m3u8?ads.vf=RE1gCJub-L0
UFC,https://linear-893.frequency.stream/dist/xumo/893/hls/master/playlist.m3u8
N SPORT,https://cc-zv5hyc9jj47n5.akamaized.net/ogc/nsprt/nsprt_1080p.m3u8
NFL_NETWORK,http://23.237.104.106:8080/USA_NFL_NE
4k ,#genre#
CCTV-4K超高清,http://192.187.124.34:81/live/cctv4ka.m3u8
CCTV16-4K超高清,http://192.187.124.34:81/live/cctv164k.m3u8
湖南卫视4K,http://192.187.124.34:81/live/hnws4k.m3u8
深圳卫视4K,http://192.187.124.34:81/live/szws4k.m3u8
江苏卫视4K,http://192.187.124.34:81/live/jsws4k.m3u8
浙江卫视4K,http://192.187.124.34:81/live/zjws4k.m3u8
四川卫视4K,http://192.187.124.34:81/live/scws4k.m3u8
山东卫视4K,http://192.187.124.34:81/live/sdws4k.m3u8
东方卫视4K,http://192.187.124.34:81/live/dfws4k.m3u8
广东卫视4K,http://192.187.124.34:81/live/gdws4k.m3u8
求索纪录,http://192.187.124.34:81/live/qsjl.m3u8
求索动物,http://192.187.124.34:81/live/qsdw.m3u8
求索海淘,http://192.187.124.34:81/live/qskx.m3u8
求索生活,http://192.187.124.34:81/live/qssh.m3u8
精彩影视,http://192.187.124.34:81/live/hsjcys.m3u8
风尚音乐,http://192.187.124.34:81/live/hsfsyy.m3u8
精品剧场,http://192.187.124.34:81/live/hsjpjc.m3u8
欧美影院,http://192.187.124.34:81/live/hsomyy.m3u8
少儿动漫,http://192.187.124.34:81/live/hssedm.m3u8
探索纪录,http://192.187.124.34:81/live/hstsjl.m3u8
亚洲影院,http://192.187.124.34:81/live/hsyzyy.m3u8
IHOT爱院线,http://192.187.124.34:81/live/ihotayx.m3u8
睛彩广场舞,http://192.187.124.34:81/live/jcgcw.m3u8
睛彩竞技,http://192.187.124.34:81/live/jcjj.m3u8
睛彩青少,http://192.187.124.34:81/live/jcqs.m3u8
睛彩篮球,http://192.187.124.34:81/live/jclq.m3u8
湖南电影,http://192.187.124.34:81/live/hndya.m3u8
湖南电视剧,http://192.187.124.34:81/live/hndsja.m3u8
湖南经视,http://192.187.124.34:81/live/hnjsa.m3u8
湖南都市,http://192.187.124.34:81/live/hndsa.m3u8
湖南爱晚,http://192.187.124.34:81/live/hngga.m3u8
湖南娱乐,http://192.187.124.34:81/live/hnyla.m3u8
湖南教育,http://192.187.124.34:81/live/hndjy.m3u8
金鹰纪实,http://192.187.124.34:81/live/hnjyjsa.m3u8
湖南国际,http://192.187.124.34:81/live/hngj.m3u8
湖南导视,http://192.187.124.34:81/live/hnda.m3u8
